"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"929","Umezawa Yukari no Igo Seminar","Tabletop game","Success","Success","Unreleased","June 13, 2002","Unreleased"
"930","Unreal Championship","First-person shooter","Digital Extremes","Infogrames","November 29, 2002","Unreleased","September 24, 2002"
"931","Unreal Championship 2: The Liandri Conflict","First-person shooter","Epic Games","Midway Games","April 22, 2005","Unreleased","April 18, 2005"
"932","Unreal II: The Awakening","First-person shooter","Tantalus Interactive","Atari","March 23, 2004","Unreleased","February 10, 2004"
"933","Urban Chaos: Riot Response","First-person shooter","Rocksteady Studios","Eidos Interactive","May 19, 2006","Unreleased","June 13, 2006"
"934","The Urbz: Sims in the City","Simulation","Maxis","EA Games","November 9, 2004","Unreleased","November 9, 2004"
"935","V-Rally 3","Racing","Eden Studios","Infogrames","March 28, 2003","Unreleased","March 25, 2003"
"936","Van Helsing","Third-person shooter","Saffire","Vivendi Universal Games","May 7, 2004","Unreleased","April 27, 2004"
"937","Vexx","Platformer","Acclaim Studios Austin","Acclaim Entertainment","April 4, 2003","Unreleased","February 10, 2003"
"938","Vietcong: Purple Haze","Tactical shooter","Coyote","Gathering","September 18, 2004","Unreleased","September 15, 2004"
"939","Virtual Pool: Tournament Edition","Pool","Celeris","Global Star Software","June 8, 2005","Unreleased","May 11, 2005"
"940","Volvo: Drive For Life","Racing","Climax Group","Xbox Game Studios","Unreleased","Unreleased","August 18, 2005"
"941","Voodoo Vince","Platformer","Beep Industries","Xbox Game Studios","October 17, 2003","June 22, 2004","September 23, 2003"
"942","Wakeboarding Unleashed","Sports/Wakeboarding","Shaba Games","Activision","Unreleased","Unreleased","June 10, 2003"
"943","Wallace & Gromit in Project Zoo","Platformer","Frontier Developments","BAM! Entertainment","October 3, 2003","Unreleased","October 14, 2003"
"944","Wallace & Gromit: The Curse of the Were-Rabbit","Platformer","Frontier Developments","Konami","October 14, 2005","March 16, 2006","September 29, 2005"
"945","Warpath","First-person shooter","Digital Extremes","Groove Games","Unreleased","Unreleased","July 24, 2006"
"946","The Warriors","Action-Adventure/Beat 'em up","Rockstar Toronto","Rockstar Games","October 24, 2005","Unreleased","October 17, 2005"
"947","Whacked!","Party game","Presto Studios","Xbox Game Studios","November 29, 2002","Unreleased","October 8, 2002"
"948","Whiplash","Platformer/Action-Adventure","Crystal Dynamics","Eidos Interactive","February 11, 2004","Unreleased","November 18, 2003"
"949","Whiteout","Racing","Konami","Konami","Unreleased","Unreleased","November 12, 2002"
"950","The Wild Rings","Fighting","Xbox Game Studios","Xbox Game Studios","Unreleased","April 10, 2003","Unreleased"
"951","WinBack 2: Project Poseidon","Third-person shooter","Cavia Inc.","Koei","June 15, 2006","December 31, 2005","April 25, 2006"
"952","Wings of War","Combat Flight Simulator","Silver Wish Games","Gathering","July 31, 2004","Unreleased","August 31, 2004"
"953","Without Warning","Third-person shooter","CiRCLE","Capcom","October 28, 2005","Unreleased","November 1, 2005"
"954","World Championship Poker","Card Game/Poker","Crave Entertainment","Crave Entertainment","Unreleased","Unreleased","November 30, 2004"
"955","World Championship Poker 2: Featuring Howard Lederer","Card Game/Poker","Crave Entertainment","Crave Entertainment","April 28, 2006","Unreleased","November 3, 2005"
"956","World Championship Pool 2004","Pool","Blade Interactive","Jaleco Entertainment","June 25, 2004","Unreleased","December 9, 2003"
"957","World Championship Rugby","Sports","Swordfish Studios","Acclaim Entertainment","April 8, 2004","Unreleased","Unreleased"
"958","World Championship Snooker 2003","Sports","Blade Interactive","Codemasters","June 27, 2003","Unreleased","Unreleased"
"959","World Championship Snooker 2004","Sports","Blade Interactive","Codemasters","June 25, 2004","Unreleased","Unreleased"
"960","World Poker Tour","Poker","Coresoft","2K Sports","March 10, 2006","Unreleased","October 18, 2005"
"961","World Racing","Racing","Synetic","TDK Mediactive","Unreleased","Unreleased","March 20, 2003"
"962","World Racing 2","Racing","Synetic","Evolved Games","November 25, 2005","Unreleased","August 16, 2006"
"963","World Series Baseball 2K2","Sports","Blueshift","Sega","Unreleased","Unreleased","May 19, 2002"
"964","World Series Baseball 2K3","Sports","Blueshift","Sega","Unreleased","Unreleased","March 10, 2003"
"965","World Series of Poker","Poker","Activision Value","Activision Value","February 24, 2006","Unreleased","August 31, 2005"
"966","World Snooker Championship 2005","Sports","Blade Interactive","Sega","April 15, 2005","Unreleased","Unreleased"
"967","World Soccer Winning Eleven 8 International Pro Evolution Soccer 4 (PAL) Winning Eleven 8 (JP)","Sports","KCET","Konami","November 26, 2004","August 5, 2004","February 2, 2005"
"968","World Soccer Winning Eleven 9 Pro Evolution Soccer 5 (PAL) Winning Eleven 9 (JP)","Sports","KCET","Konami","October 2, 2006","August 4, 2005","February 7, 2006"
"969","World War II Combat: Iwo Jima","First-person shooter","Direct Action","Groove Games","Unreleased","Unreleased","July 21, 2006"
"970","World War II Combat: Road to Berlin","First-person shooter","Direct Action","Groove Games","Unreleased","Unreleased","January 24, 2006"
"971","Worms 3D","Tactical Artillery","Team17","Sega","October 31, 2003","Unreleased","March 1, 2005"
"972","Worms 4: Mayhem","Tactical Artillery","Team17","Codemasters & Majesco Entertainment","September 29, 2005","Unreleased","October 4, 2005"
"973","Worms Forts: Under Siege","Tactical Artillery","Team17","Sega","November 24, 2004","Unreleased","March 15, 2005"
"974","Wrath Unleashed","Strategy","The Collective","LucasArts","March 5, 2004","Unreleased","February 10, 2004"
"975","Wreckless: The Yakuza Missions Double-S.T.E.A.L. (JP)","Racing","Bunkasha Publishing","Activision","March 14, 2002","February 22, 2002","February 4, 2002"
"976","WTA Tour Tennis","Sports","Konami","Konami","September 13, 2002","August 29, 2002","September 24, 2002"
"977","WWE Raw 2","Sports","Anchor","THQ","October 10, 2003","Unreleased","September 15, 2003"
"978","WWE WrestleMania 21","Sports","Studio Gigante","THQ","May 27, 2005","Unreleased","April 20, 2005"
"979","WWF RAW","Sports","Anchor","THQ","September 27, 2002","October 3, 2002","February 11, 2002"
"980","X-Men Legends","Action RPG","Raven Software","Activision","October 22, 2004","Unreleased","September 21, 2004"
"981","X-Men Legends II: Rise of Apocalypse","Action RPG","Raven Software","Activision","November 25, 2005","Unreleased","September 20, 2005"
"982","X-Men: Next Dimension","Fighting","Paradox Development","Activision","November 22, 2002","Unreleased","October 15, 2002"
"983","X-Men: The Official Game","Action/Beat 'em up","Z-Axis","Activision","May 19, 2006","Unreleased","May 16, 2006"
"984","X2: Wolverine's Revenge","Action/Beat 'em up","GenePool Software","Activision","April 17, 2003","Unreleased","April 15, 2003"
"985","XGRA: Extreme-G Racing Association","Racing","Acclaim Studios Cheltenham","Acclaim Entertainment","October 3, 2003","Unreleased","September 17, 2003"
"986","Xiaolin Showdown","Beat 'em up/Fighting","BottleRocket","Konami","June 29, 2007","Unreleased","November 14, 2006"
"987","XIII","First-person shooter","Ubisoft","Ubisoft","November 28, 2003","Unreleased","November 24, 2003"
"988","Xyanide","Shoot'em up","Playlogic","Playlogic","Unreleased","Unreleased","August 15, 2006"
"989","Yager","Combat Flight Simulator","Yager Development","Kemco","May 23, 2003","Unreleased","October 5, 2004"
"990","Yetisports Arctic Adventures","Party game","Pirate Games","JoWooD Productions","July 18, 2005","Unreleased","Unreleased"
"991","Yonenaga Kunio no Shougi Seminar","Tabletop game","Success","Success","Unreleased","February 13, 2002","Unreleased"
"992","Yourself!Fitness","Fitness","Respondesign","Respondesign","Unreleased","Unreleased","September 27, 2004"
"993","Yu-Gi-Oh! The Dawn of Destiny","Card Battle","KCEJ","Konami","November 12, 2004","Unreleased","March 24, 2004"
"994","Zapper: One Wicked Cricket","Platformer","Blitz Games","Infogrames","March 14, 2003","Unreleased","November 3, 2002"
"995","Zathura","Action-Adventure","High Voltage Software","2K Games","January 27, 2006","Unreleased","October 25, 2005"
"996","ZillerNet","Karaoke","Studio9, Taijin Media","Xbox Game Studios","Unreleased","Unreleased","July 10, 2005"
